# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1520530369.651539325714111,0.00407,0.00012,0.00125,0.00080,0.00436,0.00054,0.01114
1520530369.701889514923096,0.00430,0.00012,0.00080,0.00114,0.00081,0.00053,0.00770
1520530369.751892566680908,0.00396,0.00012,0.00038,0.00137,0.00406,0.00054,0.01043
1520530369.801894903182983,0.00320,0.00012,0.00056,0.00166,0.00328,0.00072,0.00954
1520530369.851896762847900,0.00329,0.00012,0.00041,0.00211,0.00166,0.00086,0.00845
1520530369.901897907257080,0.00317,0.00013,0.00086,0.00246,0.00509,0.00050,0.01221
1520530369.951900959014893,0.00329,0.00013,0.00039,0.00342,0.00056,0.00048,0.00827
1520530370.001901865005493,0.00289,0.00013,0.00024,0.00356,0.00686,0.00052,0.01422
1520530370.051904201507568,0.00337,0.00013,0.00025,0.00393,0.00076,0.00054,0.00898
1520530370.101926326751709,0.00386,0.00014,0.00038,0.00414,0.00284,0.00085,0.01222
1520530370.151928424835205,0.00398,0.00015,0.00076,0.00491,0.00000,0.00049,0.01029
1520530370.201931238174438,0.00341,0.00014,0.00018,0.00439,0.00577,0.00051,0.01441
1520530370.251933574676514,0.00382,0.00015,0.00021,0.00483,0.00119,0.00043,0.01062
1520530370.301935195922852,0.00347,0.00015,0.00030,0.00437,0.00000,0.00045,0.00874
1520530370.351938009262085,0.00466,0.00016,0.00033,0.00441,0.00464,0.00068,0.01488
1520530370.401939868927002,0.00372,0.00018,0.00006,0.00480,0.00232,0.00047,0.01155
1520530370.451942443847656,0.00445,0.00018,0.00172,0.00514,0.00019,0.00046,0.01215
1520530370.551886558532715,0.00576,0.00038,0.00110,0.00636,0.00000,0.00085,0.01445
1520530370.601901769638062,0.00472,0.00018,0.00057,0.00466,0.00574,0.00055,0.01642
1520530370.651889562606812,0.01089,0.00016,0.00024,0.00519,0.00282,0.00045,0.01976
1520530370.851894855499268,0.00713,0.00033,0.00052,0.00479,0.00000,0.00052,0.01329
1520530371.051948070526123,0.01398,0.00032,0.00268,0.00207,0.00000,0.00042,0.01947
1520530371.101949214935303,0.00500,0.00015,0.00023,0.00242,0.00036,0.00050,0.00866
1520530371.201952934265137,0.00466,0.00018,0.00099,0.00254,0.00276,0.00060,0.01173
1520530371.251955747604370,0.00433,0.00012,0.00036,0.00261,0.00110,0.00059,0.00911
1520530371.301957845687866,0.00392,0.00014,0.00074,0.00276,0.00192,0.00055,0.01002
1520530371.351956605911255,0.00482,0.00014,0.00016,0.00279,0.00000,0.00057,0.00848
1520530371.401959180831909,0.00384,0.00013,0.00061,0.00271,0.00000,0.00073,0.00802
1520530371.451960325241089,0.00401,0.00013,0.00055,0.00252,0.00000,0.00069,0.00790
1520530371.501961231231689,0.00406,0.00014,0.00016,0.00271,0.00068,0.00058,0.00833
1520530371.551963090896606,0.00478,0.00014,0.00015,0.00250,0.00000,0.00050,0.00807
1520530371.601963281631470,0.00338,0.00012,0.00040,0.00251,0.00000,0.00049,0.00691
1520530371.651965379714966,0.00605,0.00015,0.00066,0.00283,0.00000,0.00050,0.01020
1520530371.701964378356934,0.00409,0.00015,0.00036,0.00256,0.01348,0.00054,0.02118
1520530371.751960277557373,0.00554,0.00016,0.00095,0.00444,0.00123,0.00053,0.01286
1520530371.851963043212891,0.00422,0.00029,0.00315,0.00411,0.00631,0.00060,0.01867
1520530371.901962518692017,0.00429,0.00015,0.00171,0.00466,0.00307,0.00053,0.01441
1520530371.951963424682617,0.00434,0.00015,0.00045,0.00514,0.00000,0.00043,0.01050
1520530372.101968526840210,0.01179,0.00028,0.00330,0.00284,0.00119,0.00054,0.01994
1520530372.151952743530273,0.01007,0.00016,0.00074,0.00285,0.00015,0.00051,0.01449
1520530372.251957416534424,0.00402,0.00018,0.00079,0.00277,0.00203,0.00079,0.01059
1520530372.301958799362183,0.00760,0.00015,0.00017,0.00273,0.00216,0.00047,0.01330
1520530372.401963472366333,0.00393,0.00022,0.00035,0.00294,0.00002,0.00050,0.00796
1520530372.451965808868408,0.00444,0.00014,0.00014,0.00457,0.00000,0.00051,0.00980
1520530372.501969099044800,0.00366,0.00015,0.00022,0.00287,0.00000,0.00060,0.00750
1520530372.551960229873657,0.00281,0.00013,0.00076,0.00273,0.00000,0.00057,0.00699
1520530372.601963758468628,0.00648,0.00013,0.00024,0.00287,0.00467,0.00071,0.01510
1520530372.651966571807861,0.00526,0.00017,0.00130,0.00380,0.00078,0.00065,0.01196
1520530372.701968193054199,0.00500,0.00014,0.00025,0.00328,0.00485,0.00059,0.01411
1520530372.751970291137695,0.00401,0.00014,0.00281,0.00417,0.00000,0.00046,0.01159
